price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 06min,04:30,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"134,50",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"155,10",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"28,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"136,40",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"157,30",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"34,90",Super Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"40,90",Sparpreis Young,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"134,50",Flexpreis,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"155,10",Flexpreis Plus,Y,0,"Sa.,19.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
