price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 18min,00:22,10:40,2
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 18min,00:22,10:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 18min,00:22,10:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 18min,00:22,10:40,2
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 59min,00:41,10:40,4
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 11min,06:29,13:40,2
"23,90",Super Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"29,90",Sparpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"150,90",Flexpreis Plus,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,04:28,11:40,2
"28,90",Super Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"34,90",Sparpreis Young,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
"130,70",Flexpreis,Y,0,"Sa.,14.01.2023",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 14min,05:26,12:40,1
