price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 36min,05:00,11:36,2
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"28,90",Super Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"34,90",Sparpreis Young,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 52min,06:50,14:42,1
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"161,40",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"185,30",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 45min,06:55,13:40,2
"23,90",Super Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"29,90",Sparpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"163,70",Flexpreis,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
"187,80",Flexpreis Plus,Y,0,"Mi.,30.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 50min,04:50,12:40,1
