price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime
"35,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"39,65",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"121,05",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"138,95",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"35,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"39,65",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"121,05",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"138,95",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"35,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"39,65",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"121,05",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"138,95",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"35,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"39,65",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"121,05",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"138,95",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"35,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"39,65",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"121,05",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"138,95",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"35,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"39,65",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"41,15",Super Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"47,15",Sparpreis Young,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"122,75",Flexpreis,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
"140,85",Flexpreis Plus,Y,1,"So.,27.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 35min,06:01,12:36,2
