price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes,searched tariffClass
"33,90",Super Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"41,90",Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"220,90",Flexpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"247,40",Flexpreis Plus,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"33,90",Super Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 13min,00:41,10:54,4,1
"41,90",Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 13min,00:41,10:54,4,1
"220,90",Flexpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 13min,00:41,10:54,4,1
"247,40",Flexpreis Plus,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 13min,00:41,10:54,4,1
"43,90",Super Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"51,90",Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"220,90",Flexpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"247,40",Flexpreis Plus,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"43,90",Super Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 29min,05:26,12:55,1,1
"51,90",Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 29min,05:26,12:55,1,1
"220,90",Flexpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 29min,05:26,12:55,1,1
"247,40",Flexpreis Plus,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 29min,05:26,12:55,1,1
"63,90",Super Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"73,90",Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"220,90",Flexpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"247,40",Flexpreis Plus,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"63,90",Super Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"73,90",Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"220,90",Flexpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"247,40",Flexpreis Plus,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"85,90",Super Sparpreis,Y,0,"Sa.,11.02.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,5h 44min,08:04,13:48,1,1
